name,address,preview,url,review_count,naver_score,keywords
키무엔라멘,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1857908992?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311603&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
토비코,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/11706297?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311603&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
혼돈 불고기돈까스&함박스테이크,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1771240195?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311603&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
크레딧버거,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1207321456?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311604&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
장호가양꼬치 부산대점,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1182881500?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311604&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
미슐당 부산대점,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1201194727?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311604&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
웍헤이,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1456686050?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311604&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
TEJE,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/509205075?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311604&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
컬러드,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1471783994?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311604&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
브런치앤디너 테라비 부산대점,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/1051977722?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311605&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
펀치,"",,"https://map.naver.com/p/search/%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91/place/2074542658?c=15.00,0,0,0,dh&placePath=/home?entry=bmp&from=map&fromPanelNum=2&timestamp=202508311605&locale=ko&svcName=map_pcv5&searchText=%EB%B6%80%EC%82%B0%EB%8C%80%20%EB%A7%9B%EC%A7%91",0,0,
